,Name,Link
85,Clinton Foundation,https://en.wikipedia.org/wiki/Clinton_Foundation
86,Comenius Foundation for Child Development,https://en.wikipedia.org/wiki/Comenius_Foundation_for_Child_Development
87,Comic Relief,https://en.wikipedia.org/wiki/Comic_Relief
88,Community Network Projects,https://en.wikipedia.org/wiki/Community_Network_Projects
89,Compassion International,https://en.wikipedia.org/wiki/Compassion_International
90,Confetti Foundation,https://en.wikipedia.org/wiki/Confetti_Foundation
91,Conrad N. Hilton Foundation,https://en.wikipedia.org/wiki/Conrad_N._Hilton_Foundation
92,Counterpart International,https://en.wikipedia.org/wiki/Counterpart_International
93,The Crohn's and Colitis Foundation of Canada,https://en.wikipedia.org/wiki/The_Crohn%27s_and_Colitis_Foundation_of_Canada
94,Cystic Fibrosis Foundation,https://en.wikipedia.org/wiki/Cystic_Fibrosis_Foundation
95,David and Lucile Packard Foundation,https://en.wikipedia.org/wiki/David_and_Lucile_Packard_Foundation
96,David Suzuki Foundation,https://en.wikipedia.org/wiki/David_Suzuki_Foundation
97,Do Something,https://en.wikipedia.org/wiki/Do_Something
98,Dream Center,https://en.wikipedia.org/wiki/Dream_Center
99,Drosos Foundation,https://en.wikipedia.org/wiki/Drosos_Foundation
100,The Duke Endowment,https://en.wikipedia.org/wiki/The_Duke_Endowment
101,East Meets West,https://en.wikipedia.org/wiki/East_Meets_West_(non-governmental_organization)
102,Edhi Foundation,https://en.wikipedia.org/wiki/Edhi_Foundation
103,Engineers Without Borders,https://en.wikipedia.org/wiki/Engineers_Without_Borders
104,Epilepsy Foundation,https://en.wikipedia.org/wiki/Epilepsy_Foundation
105,Epilepsy Outlook,https://en.wikipedia.org/wiki/Epilepsy_Outlook
106,Eppley Foundation,https://en.wikipedia.org/wiki/Eppley_Foundation
107,Feeding America,https://en.wikipedia.org/wiki/Feeding_America
108,Feed My Starving Children,https://en.wikipedia.org/wiki/Feed_My_Starving_Children
109,FINCA International,https://en.wikipedia.org/wiki/FINCA_International
110,Food Allergy Initiative,https://en.wikipedia.org/wiki/Food_Allergy_Initiative
111,Food Not Bombs,https://en.wikipedia.org/wiki/Food_Not_Bombs
112,Ford Foundation,https://en.wikipedia.org/wiki/Ford_Foundation
113,The Foundation for a Better Life,https://en.wikipedia.org/wiki/The_Foundation_for_a_Better_Life
114,Foundation for Child Development,https://en.wikipedia.org/wiki/Foundation_for_Child_Development
115,The Fred Hollows Foundation,https://en.wikipedia.org/wiki/The_Fred_Hollows_Foundation
116,Free the Children,https://en.wikipedia.org/wiki/Free_the_Children
117,Fremont Area Community Foundation,https://en.wikipedia.org/wiki/Fremont_Area_Community_Foundation
118,Friedrich Ebert Stiftung,https://en.wikipedia.org/wiki/Friedrich_Ebert_Foundation
119,Fritt Ord,https://en.wikipedia.org/wiki/Fritt_Ord_(organization)
120,Fund for Reconciliation and Development,https://en.wikipedia.org/wiki/Fund_for_Reconciliation_and_Development
121,Fundacion Manantiales,https://en.wikipedia.org/wiki/Fundacion_Manantiales
122,Garfield Weston Foundation,https://en.wikipedia.org/wiki/Garfield_Weston_Foundation
123,GEFEK,https://en.wikipedia.org/wiki/GEFEK
124,George S. and Dolores Dore Eccles Foundation,https://en.wikipedia.org/wiki/George_S._and_Dolores_Dore_Eccles_Foundation
125,German Foundation for World Population,https://en.wikipedia.org/wiki/German_Foundation_for_World_Population
126,Gill Foundation,https://en.wikipedia.org/wiki/Gill_Foundation
127,Girl Scouts of the USA,https://en.wikipedia.org/wiki/Girl_Scouts_of_the_USA
128,GiveIndia,https://en.wikipedia.org/wiki/GiveIndia
129,"The Global Fund to Fight AIDS, Tuberculosis and Malaria","https://en.wikipedia.org/wiki/The_Global_Fund_to_Fight_AIDS,_Tuberculosis_and_Malaria"
130,GlobalGiving,https://en.wikipedia.org/wiki/GlobalGiving
131,Global Greengrants Fund,https://en.wikipedia.org/wiki/Global_Greengrants_Fund
132,Global Village Foundation,https://en.wikipedia.org/wiki/Global_Village_Foundation
133,Gordon and Betty Moore Foundation,https://en.wikipedia.org/wiki/Gordon_and_Betty_Moore_Foundation
134,Grassroots Business Fund,https://en.wikipedia.org/wiki/Grassroots_Business_Fund
135,Greenpeace,https://en.wikipedia.org/wiki/Greenpeace
136,Habitat for Humanity,https://en.wikipedia.org/wiki/Habitat_for_Humanity
137,Handicap International,https://en.wikipedia.org/wiki/Handicap_International
138,Hands on Network,https://en.wikipedia.org/wiki/Hands_on_Network
139,Hands on Tzedakah,https://en.wikipedia.org/wiki/Hands_on_Tzedakah
140,Heal the World Foundation,https://en.wikipedia.org/wiki/Heal_the_World_Foundation
141,Heart to Heart International,https://en.wikipedia.org/wiki/Heart_to_Heart_International
142,Heifer International,https://en.wikipedia.org/wiki/Heifer_International
143,Helen Keller International,https://en.wikipedia.org/wiki/Helen_Keller_International
144,Heritage Action,https://en.wikipedia.org/wiki/Heritage_Action
145,The Heritage Foundation,https://en.wikipedia.org/wiki/The_Heritage_Foundation
146,High Fives Foundation,https://en.wikipedia.org/wiki/High_Fives_Foundation
147,Holt International Children's Services,https://en.wikipedia.org/wiki/Holt_International_Children%27s_Services
148,Howard Hughes Medical Institute,https://en.wikipedia.org/wiki/Howard_Hughes_Medical_Institute
149,The Idries Shah Foundation,https://en.wikipedia.org/wiki/The_Idries_Shah_Foundation
150,IHH (Turkish NGO),https://en.wikipedia.org/wiki/IHH_(Turkish_NGO)
151,Illinois Prairie Community Foundation,https://en.wikipedia.org/wiki/Illinois_Prairie_Community_Foundation
152,Imam Khomeini Relief Foundation,https://en.wikipedia.org/wiki/Imam_Khomeini_Relief_Foundation
153,International Children Assistance Network,https://en.wikipedia.org/wiki/International_Children_Assistance_Network
154,International Federation of Red Cross and Red Crescent Societies,https://en.wikipedia.org/wiki/International_Federation_of_Red_Cross_and_Red_Crescent_Societies
155,International Foundation for Electoral Systems,https://en.wikipedia.org/wiki/International_Foundation_for_Electoral_Systems
156,International Fund for Animal Welfare,https://en.wikipedia.org/wiki/International_Fund_for_Animal_Welfare
157,International Literacy Foundation,https://en.wikipedia.org/wiki/International_Literacy_Foundation
158,International Medical Corps,https://en.wikipedia.org/wiki/International_Medical_Corps
159,International Planned Parenthood Federation,https://en.wikipedia.org/wiki/International_Planned_Parenthood_Federation
160,International Republican Institute,https://en.wikipedia.org/wiki/International_Republican_Institute
161,International Resources for the Improvement of Sight,https://en.wikipedia.org/wiki/International_Resources_for_the_Improvement_of_Sight
162,International Trachoma Initiative,https://en.wikipedia.org/wiki/International_Trachoma_Initiative
163,International Union for Conservation of Nature,https://en.wikipedia.org/wiki/International_Union_for_Conservation_of_Nature
164,"Invisible Children, Inc.","https://en.wikipedia.org/wiki/Invisible_Children,_Inc."
165,Islamic Relief,https://en.wikipedia.org/wiki/Islamic_Relief
166,ISSO Seva,https://en.wikipedia.org/wiki/ISSO_Seva
167,J. Paul Getty Trust,https://en.wikipedia.org/wiki/J._Paul_Getty_Trust
168,Jain Foundation,https://en.wikipedia.org/wiki/Jain_Foundation
169,Jane Goodall Institute,https://en.wikipedia.org/wiki/Jane_Goodall_Institute
170,Jesse's Journey,https://en.wikipedia.org/wiki/Jesse%27s_Journey
171,Jesuit Refugee Service,https://en.wikipedia.org/wiki/Jesuit_Refugee_Service
172,Jewish Community Center,https://en.wikipedia.org/wiki/Jewish_Community_Center
173,John A. Hartford Foundation,https://en.wikipedia.org/wiki/John_A._Hartford_Foundation
174,John D. and Catherine T. MacArthur Foundation,https://en.wikipedia.org/wiki/John_D._and_Catherine_T._MacArthur_Foundation
175,Just a Drop,https://en.wikipedia.org/wiki/Just_a_Drop
176,Kin Canada,https://en.wikipedia.org/wiki/Kin_Canada
177,Knut and Alice Wallenberg Foundation,https://en.wikipedia.org/wiki/Knut_and_Alice_Wallenberg_Foundation
178,Konrad Adenauer Foundation,https://en.wikipedia.org/wiki/Konrad_Adenauer_Foundation
179,The Kresge Foundation,https://en.wikipedia.org/wiki/The_Kresge_Foundation
180,La Caixa,https://en.wikipedia.org/wiki/La_Caixa
181,Laidlaw Foundation,https://en.wikipedia.org/wiki/Laidlaw_Foundation
182,The Lawrence Foundation,https://en.wikipedia.org/wiki/The_Lawrence_Foundation
183,LDS Humanitarian Services,https://en.wikipedia.org/wiki/LDS_Humanitarian_Services
184,Legal Education Foundation,https://en.wikipedia.org/wiki/Legal_Education_Foundation
185,The Leona M. and Harry B. Helmsley Charitable Trust,https://en.wikipedia.org/wiki/The_Leona_M._and_Harry_B._Helmsley_Charitable_Trust
186,Lepra,https://en.wikipedia.org/wiki/Lepra
187,Li Ka Shing Foundation,https://en.wikipedia.org/wiki/Li_Ka_Shing_Foundation
188,Libra Foundation,https://en.wikipedia.org/wiki/Libra_Foundation
189,Lifeline Express,https://en.wikipedia.org/wiki/Lifeline_Express
190,Lilly Endowment,https://en.wikipedia.org/wiki/Lilly_Endowment
191,Lions Clubs International,https://en.wikipedia.org/wiki/Lions_Clubs_International
192,Make-A-Wish Foundation,https://en.wikipedia.org/wiki/Make-A-Wish_Foundation
193,Malteser International,https://en.wikipedia.org/wiki/Malteser_International
194,Marie Stopes International,https://en.wikipedia.org/wiki/Marie_Stopes_International
195,The MasterCard Foundation,https://en.wikipedia.org/wiki/The_MasterCard_Foundation
196,Material World Charitable Foundation,https://en.wikipedia.org/wiki/Material_World_Charitable_Foundation
197,Maybach Foundation,https://en.wikipedia.org/wiki/Maybach_Foundation
198,McKnight Foundation,https://en.wikipedia.org/wiki/McKnight_Foundation
199,Médecins du Monde,https://en.wikipedia.org/wiki/M%C3%A9decins_du_Monde
200,Médecins Sans Frontières,https://en.wikipedia.org/wiki/M%C3%A9decins_Sans_Fronti%C3%A8res
201,Mercy Corps,https://en.wikipedia.org/wiki/Mercy_Corps
202,Mercy International Foundation,https://en.wikipedia.org/wiki/Mercy_International_Foundation
203,Michael and Susan Dell Foundation,https://en.wikipedia.org/wiki/Michael_and_Susan_Dell_Foundation
204,Mohammed bin Rashid Al Maktoum Foundation,https://en.wikipedia.org/wiki/Mohammed_bin_Rashid_Al_Maktoum_Foundation
205,Movimento Sviluppo e Pace,https://en.wikipedia.org/wiki/Movimento_Sviluppo_e_Pace
206,Mukti,https://en.wikipedia.org/wiki/Mukti_(organization)
207,Multiple Sclerosis Foundation,https://en.wikipedia.org/wiki/Multiple_Sclerosis_Foundation
208,National Collegiate Cancer Foundation,https://en.wikipedia.org/wiki/National_Collegiate_Cancer_Foundation
209,Nemours Foundation,https://en.wikipedia.org/wiki/Nemours_Foundation
210,Netherlands Leprosy Relief,https://en.wikipedia.org/wiki/Netherlands_Leprosy_Relief
211,Network for Good,https://en.wikipedia.org/wiki/Network_for_Good
212,The New Brunswick Innovation Foundation,https://en.wikipedia.org/wiki/The_New_Brunswick_Innovation_Foundation
213,Nimmagadda Foundation,https://en.wikipedia.org/wiki/Nimmagadda_Foundation
214,Nippon Foundation,https://en.wikipedia.org/wiki/Nippon_Foundation
215,Nobel Foundation,https://en.wikipedia.org/wiki/Nobel_Foundation
216,Norwegian Mission Alliance,https://en.wikipedia.org/wiki/Norwegian_Mission_Alliance
217,NYRR Foundation,https://en.wikipedia.org/wiki/NYRR_Foundation
218,The Oaktree Foundation,https://en.wikipedia.org/wiki/The_Oaktree_Foundation
219,Omar-Sultan Foundation,https://en.wikipedia.org/wiki/Omar-Sultan_Foundation
220,ONS Foundation,https://en.wikipedia.org/wiki/ONS_Foundation
221,Operation Blessing International,https://en.wikipedia.org/wiki/Operation_Blessing_International
222,Operation Smile,https://en.wikipedia.org/wiki/Operation_Smile
223,Operation USA,https://en.wikipedia.org/wiki/Operation_USA
224,Opportunity International,https://en.wikipedia.org/wiki/Opportunity_International
225,Orbis International,https://en.wikipedia.org/wiki/Orbis_International
226,Ormiston Trust,https://en.wikipedia.org/wiki/Ormiston_Trust
227,Oxfam,https://en.wikipedia.org/wiki/Oxfam
228,The Pew Charitable Trusts,https://en.wikipedia.org/wiki/The_Pew_Charitable_Trusts
229,Pin-ups for Vets,https://en.wikipedia.org/wiki/Pin-ups_for_Vets
230,Plan,https://en.wikipedia.org/wiki/Plan_(aid_organisation)
231,Ratanak International,https://en.wikipedia.org/wiki/Ratanak_International
232,Realdania,https://en.wikipedia.org/wiki/Realdania
233,Refresh Bolivia,https://en.wikipedia.org/wiki/Refresh_Bolivia
234,Reggio Children Foundation,https://en.wikipedia.org/wiki/Reggio_Children_Foundation
235,REHASWISS,https://en.wikipedia.org/wiki/REHASWISS
236,Robert Bosch Stiftung,https://en.wikipedia.org/wiki/Robert_Bosch_Stiftung
237,Robert Wood Johnson Foundation,https://en.wikipedia.org/wiki/Robert_Wood_Johnson_Foundation
238,Rockefeller Brothers Fund,https://en.wikipedia.org/wiki/Rockefeller_Brothers_Fund
239,Rockefeller Foundation,https://en.wikipedia.org/wiki/Rockefeller_Foundation
240,Rotary Foundation,https://en.wikipedia.org/wiki/Rotary_Foundation
241,Royal Flying Doctor Service of Australia,https://en.wikipedia.org/wiki/Royal_Flying_Doctor_Service_of_Australia
242,Royal London Society for Blind People,https://en.wikipedia.org/wiki/Royal_London_Society_for_Blind_People
243,Royal Society for the Prevention of Cruelty to Animals,https://en.wikipedia.org/wiki/Royal_Society_for_the_Prevention_of_Cruelty_to_Animals
244,Royal Society for the Protection of Birds,https://en.wikipedia.org/wiki/Royal_Society_for_the_Protection_of_Birds
245,Saint Camillus Foundation,https://en.wikipedia.org/wiki/Saint_Camillus_Foundation
246,The Salvation Army,https://en.wikipedia.org/wiki/The_Salvation_Army
247,Samaritan's Purse,https://en.wikipedia.org/wiki/Samaritan%27s_Purse
248,Samsara Foundation,https://en.wikipedia.org/wiki/Samsara_Foundation
249,Santa Casa da Misericórdia,https://en.wikipedia.org/wiki/Santa_Casa_da_Miseric%C3%B3rdia
250,Save the Children,https://en.wikipedia.org/wiki/Save_the_Children
251,Save the Manatee Club,https://en.wikipedia.org/wiki/Save_the_Manatee_Club
252,Scaife Family Foundation,https://en.wikipedia.org/wiki/Scaife_Family_Foundation
253,SCARE for a CURE,https://en.wikipedia.org/wiki/Scare_for_a_Cure
254,Schowalter Foundation,https://en.wikipedia.org/wiki/Schowalter_Foundation
255,Silicon Valley Community Foundation,https://en.wikipedia.org/wiki/Silicon_Valley_Community_Foundation
256,Simone and Cino Del Duca Foundation,https://en.wikipedia.org/wiki/Simone_and_Cino_Del_Duca_Foundation
257,Sir Dorabji Tata and Allied Trusts,https://en.wikipedia.org/wiki/Sir_Dorabji_Tata_and_Allied_Trusts
258,SKIP of New York,https://en.wikipedia.org/wiki/SKIP_of_New_York
259,SmileTrain,https://en.wikipedia.org/wiki/SmileTrain
260,Societat de Beneficència de Naturals de Catalunya,https://en.wikipedia.org/wiki/Societat_de_Benefic%C3%A8ncia_de_Naturals_de_Catalunya
261,Society of Saint Vincent de Paul,https://en.wikipedia.org/wiki/Society_of_Saint_Vincent_de_Paul
262,Somaly Mam Foundation,https://en.wikipedia.org/wiki/Somaly_Mam_Foundation
263,SOS Children's Villages,https://en.wikipedia.org/wiki/SOS_Children%27s_Villages
264,SOS Children's Villages – UK,https://en.wikipedia.org/wiki/SOS_Children%27s_Villages_UK
265,SOS Children's Villages – USA,https://en.wikipedia.org/wiki/SOS_Children%27s_Villages_%E2%80%93_USA
266,Sparebankstiftelsen DnB,https://en.wikipedia.org/wiki/Sparebankstiftelsen_DnB
267,St. Baldrick's Foundation,https://en.wikipedia.org/wiki/St._Baldrick%27s_Foundation
268,St. Jude Children's Research Hospital,https://en.wikipedia.org/wiki/St._Jude_Children%27s_Research_Hospital
269,Starlight Children's Foundation,https://en.wikipedia.org/wiki/Starlight_Children%27s_Foundation
270,Stichting INGKA Foundation,https://en.wikipedia.org/wiki/Stichting_INGKA_Foundation
271,Students Helping Honduras,https://en.wikipedia.org/wiki/Students_Helping_Honduras
272,Surdna Foundation,https://en.wikipedia.org/wiki/Surdna_Foundation
273,Survivor Corps,https://en.wikipedia.org/wiki/Survivor_Corps
274,Susan G. Komen for the Cure,https://en.wikipedia.org/wiki/Susan_G._Komen_for_the_Cure
275,SystemX,https://en.wikipedia.org/wiki/SystemX
276,Taproot Foundation,https://en.wikipedia.org/wiki/Taproot_Foundation
277,Thrive Africa,https://en.wikipedia.org/wiki/Thrive_Africa
278,Tom Joyner Foundation,https://en.wikipedia.org/wiki/Tom_Joyner_Foundation
279,Toys for Tots,https://en.wikipedia.org/wiki/Toys_for_Tots
280,Traffic,https://en.wikipedia.org/wiki/Traffic_(conservation_programme)
281,Tulsa Community Foundation,https://en.wikipedia.org/wiki/Tulsa_Community_Foundation
282,UNICEF,https://en.wikipedia.org/wiki/UNICEF
283,United Methodist Committee on Relief,https://en.wikipedia.org/wiki/United_Methodist_Committee_on_Relief
284,United Nations Foundation,https://en.wikipedia.org/wiki/United_Nations_Foundation
285,United States Artists,https://en.wikipedia.org/wiki/United_States_Artists
286,United Way Worldwide,https://en.wikipedia.org/wiki/United_Way_Worldwide
287,Universal Health Care Foundation of Connecticut,https://en.wikipedia.org/wiki/Universal_Health_Care_Foundation_of_Connecticut
288,Vancouver Foundation,https://en.wikipedia.org/wiki/Vancouver_Foundation
289,Varkey Foundation,https://en.wikipedia.org/wiki/Varkey_Foundation
290,Veniños,https://en.wikipedia.org/wiki/Veni%C3%B1os
291,Vietnam Children's Fund,https://en.wikipedia.org/wiki/Vietnam_Children%27s_Fund
292,Vietnam Veterans Memorial Fund,https://en.wikipedia.org/wiki/Vietnam_Veterans_Memorial_Fund
293,Vietnam Veterans of America Foundation,https://en.wikipedia.org/wiki/Vietnam_Veterans_of_America_Foundation
294,Virtu Foundation,https://en.wikipedia.org/wiki/Virtu_Foundation
295,Voluntary Service Overseas,https://en.wikipedia.org/wiki/Voluntary_Service_Overseas
296,Volunteers of America,https://en.wikipedia.org/wiki/Volunteers_of_America
297,The W. Garfield Weston Foundation,https://en.wikipedia.org/wiki/The_W._Garfield_Weston_Foundation
298,W. K. Kellogg Foundation,https://en.wikipedia.org/wiki/W._K._Kellogg_Foundation
299,The Walter and Duncan Gordon Foundation,https://en.wikipedia.org/wiki/The_Walter_and_Duncan_Gordon_Foundation
300,Waste No Food,https://en.wikipedia.org/wiki/Waste_No_Food
301,Water Agriculture and Health in Tropical Area,https://en.wikipedia.org/wiki/Water_Agriculture_and_Health_in_Tropical_Area
302,Wellcome Trust,https://en.wikipedia.org/wiki/Wellcome_Trust
303,The Weston Foundation,https://en.wikipedia.org/wiki/The_Weston_Foundation
304,Wetlands International,https://en.wikipedia.org/wiki/Wetlands_International
305,Wikimedia Foundation,https://en.wikipedia.org/wiki/Wikimedia_Foundation
306,WildAid,https://en.wikipedia.org/wiki/WildAid
307,Wildlife Conservation Society,https://en.wikipedia.org/wiki/Wildlife_Conservation_Society
308,William and Flora Hewlett Foundation,https://en.wikipedia.org/wiki/William_and_Flora_Hewlett_Foundation
309,The Winnipeg Foundation,https://en.wikipedia.org/wiki/The_Winnipeg_Foundation
310,Woodrow Wilson National Fellowship Foundation,https://en.wikipedia.org/wiki/Woodrow_Wilson_National_Fellowship_Foundation
311,World Association of Girl Guides and Girl Scouts,https://en.wikipedia.org/wiki/World_Association_of_Girl_Guides_and_Girl_Scouts
312,World Literacy Foundation,https://en.wikipedia.org/wiki/World_Literacy_Foundation
313,World Medical Relief,https://en.wikipedia.org/wiki/World_Medical_Relief
314,World Scout Foundation,https://en.wikipedia.org/wiki/World_Scout_Foundation
315,World Transformation Movement,https://en.wikipedia.org/wiki/World_Transformation_Movement
316,World Vision International,https://en.wikipedia.org/wiki/World_Vision_International
317,World Wide Fund for Nature,https://en.wikipedia.org/wiki/World_Wide_Fund_for_Nature
318,Wounded Warrior Project,https://en.wikipedia.org/wiki/Wounded_Warrior_Project
319,Wyoming Wildlife Federation,https://en.wikipedia.org/wiki/Wyoming_Wildlife_Federation
320,Young Lives,https://en.wikipedia.org/wiki/Young_Lives
321,Youth With A Mission,https://en.wikipedia.org/wiki/Youth_With_A_Mission
322,YouthBuild,https://en.wikipedia.org/wiki/YouthBuild
